Language Task Size Select_interval Select_size Actual_duration Model Metric Value Method
Korean asr 15 15 750 760.3 wav2vec2-large-xlsr-53 cer 0.05300998969965502 al
Korean asr 15 15 765 775.29 wav2vec2-large-xlsr-53 wer 0.16024419948162258 al
Korean asr 15 15 765 775.29 wav2vec2-large-xlsr-53 cer 0.049180059840099405 al
Korean asr 15 15 780 790.28 wav2vec2-large-xlsr-53 wer 0.16161821191018955 al
Korean asr 15 15 780 790.28 wav2vec2-large-xlsr-53 cer 0.04987083694390399 al
Korean asr 15 15 795 805.16 wav2vec2-large-xlsr-53 wer 0.15907316616182118 al
Korean asr 15 15 795 805.16 wav2vec2-large-xlsr-53 cer 0.04859964357536419 al
Korean asr 15 15 810 819.97 wav2vec2-large-xlsr-53 wer 0.153873778221903 al
Korean asr 15 15 810 819.97 wav2vec2-large-xlsr-53 cer 0.04648643787910992 al
Korean asr 15 15 825 834.97 wav2vec2-large-xlsr-53 wer 0.15719951285013897 al
Korean asr 15 15 825 834.97 wav2vec2-large-xlsr-53 cer 0.0469033566044831 al
Korean asr 15 15 840 849.92 wav2vec2-large-xlsr-53 wer 0.13285763357586736 al
Korean asr 15 15 840 849.92 wav2vec2-large-xlsr-53 cer 0.04084986020960384 al
Korean asr 15 15 855 864.87 wav2vec2-large-xlsr-53 wer 0.16591200074946133 al
Korean asr 15 15 855 864.87 wav2vec2-large-xlsr-53 cer 0.04952749211124373 al
Korean asr 15 15 870 879.8 wav2vec2-large-xlsr-53 wer 0.13577740998657215 al
Korean asr 15 15 870 879.8 wav2vec2-large-xlsr-53 cer 0.041814495691839836 al
Korean asr 15 15 885 894.77 wav2vec2-large-xlsr-53 wer 1.0 al
Korean asr 15 15 885 894.77 wav2vec2-large-xlsr-53 cer 1.0 al
Korean asr 15 15 900 909.76 wav2vec2-large-xlsr-53 wer 1.0 al
Korean asr 15 15 900 909.76 wav2vec2-large-xlsr-53 cer 0.9998937265994147 al
Korean asr 15 15 915 924.57 wav2vec2-large-xlsr-53 wer 1.0 al
Korean asr 15 15 915 924.57 wav2vec2-large-xlsr-53 cer 1.0 al
Korean asr 15 15 930 939.52 wav2vec2-large-xlsr-53 wer 1.0 al
Korean asr 15 15 930 939.52 wav2vec2-large-xlsr-53 cer 1.0 al
Korean asr 15 15 945 954.52 wav2vec2-large-xlsr-53 wer 0.13484058333073104 al
Korean asr 15 15 945 954.52 wav2vec2-large-xlsr-53 cer 0.04062505109298105 al
Korean asr 15 15 960 969.38 wav2vec2-large-xlsr-53 wer 1.0 al
Korean asr 15 15 960 969.38 wav2vec2-large-xlsr-53 cer 1.0 al
Korean asr 15 15 975 984.28 wav2vec2-large-xlsr-53 wer 0.15268713112450427 al
Korean asr 15 15 975 984.28 wav2vec2-large-xlsr-53 cer 0.045660775305331656 al
Korean asr 15 15 990 999.26 wav2vec2-large-xlsr-53 wer 1.0 al
Korean asr 15 15 990 999.26 wav2vec2-large-xlsr-53 cer 1.0 al
Korean asr 15 15 1005 1014.09 wav2vec2-large-xlsr-53 wer 0.13003153983074664 al
Korean asr 15 15 1005 1014.09 wav2vec2-large-xlsr-53 cer 0.03821346238739107 al
Korean asr 15 15 1020 1028.99 wav2vec2-large-xlsr-53 wer 0.11661930487462137 al
Korean asr 15 15 1020 1028.99 wav2vec2-large-xlsr-53 cer 0.03545444141065677 al
Korean asr 15 15 1035 1043.88 wav2vec2-large-xlsr-53 wer 0.1119351715954158 al
Korean asr 15 15 1035 1043.88 wav2vec2-large-xlsr-53 cer 0.033574219707993395 al
Korean asr 15 15 1050 1058.75 wav2vec2-large-xlsr-53 wer 0.12331761546388534 al
Korean asr 15 15 1050 1058.75 wav2vec2-large-xlsr-53 cer 0.03716707813547406 al
Korean asr 15 15 1065 1073.71 wav2vec2-large-xlsr-53 wer 0.10306654592011992 al
Korean asr 15 15 1065 1073.71 wav2vec2-large-xlsr-53 cer 0.030778411784902638 al
Bemba asr 15 15 0 14.97 wav2vec2-large-xlsr-53 wer 0.9908673724385478 al
Bemba asr 15 15 0 14.97 wav2vec2-large-xlsr-53 cer 0.9531004049563427 al
Bemba asr 15 15 15 29.91 wav2vec2-large-xlsr-53 wer 0.9920941433050116 al
Bemba asr 15 15 15 29.91 wav2vec2-large-xlsr-53 cer 0.9445371254826515 al
Bemba asr 15 15 30 44.71 wav2vec2-large-xlsr-53 wer 0.8506974419555636 al
Bemba asr 15 15 30 44.71 wav2vec2-large-xlsr-53 cer 0.2984366801652114 al
Bemba asr 15 15 45 59.56 wav2vec2-large-xlsr-53 wer 0.7378799581989186 al
Bemba asr 15 15 45 59.56 wav2vec2-large-xlsr-53 cer 0.19365254476718374 al
Bemba asr 15 15 60 74.49 wav2vec2-large-xlsr-53 wer 0.6839474760325321 al
Bemba asr 15 15 60 74.49 wav2vec2-large-xlsr-53 cer 0.16272249054877638 al
Bemba asr 15 15 75 89.4 wav2vec2-large-xlsr-53 wer 0.5996183379526557 al
Bemba asr 15 15 75 89.4 wav2vec2-large-xlsr-53 cer 0.12491759609304579 al
Bemba asr 15 15 90 104.3 wav2vec2-large-xlsr-53 wer 0.5937570993684402 al
Bemba asr 15 15 90 104.3 wav2vec2-large-xlsr-53 cer 0.11910559808419324 al
Bemba asr 15 15 105 119.27 wav2vec2-large-xlsr-53 wer 0.5806261075014767 al
Bemba asr 15 15 105 119.27 wav2vec2-large-xlsr-53 cer 0.11565472426643705 al
Bemba asr 15 15 120 134.25 wav2vec2-large-xlsr-53 wer 0.5706756326957154 al
Bemba asr 15 15 120 134.25 wav2vec2-large-xlsr-53 cer 0.11192132276769498 al
Bemba asr 15 15 135 149.22 wav2vec2-large-xlsr-53 wer 0.5469580626107502 al
Bemba asr 15 15 135 149.22 wav2vec2-large-xlsr-53 cer 0.10530210281316849 al
Bemba asr 15 15 150 164.05 wav2vec2-large-xlsr-53 wer 0.5724930710164023 al
Bemba asr 15 15 150 164.05 wav2vec2-large-xlsr-53 cer 0.11058940655733294 al
Bemba asr 15 15 165 178.98 wav2vec2-large-xlsr-53 wer 0.5686764505429597 al
Bemba asr 15 15 165 178.98 wav2vec2-large-xlsr-53 cer 0.11129572575979765 al
Bemba asr 15 15 180 193.86 wav2vec2-large-xlsr-53 wer 0.5641328547412422 al
Bemba asr 15 15 180 193.86 wav2vec2-large-xlsr-53 cer 0.10857807854269531 al
Bemba asr 15 15 195 208.78 wav2vec2-large-xlsr-53 wer 0.5501385796719523 al
Bemba asr 15 15 195 208.78 wav2vec2-large-xlsr-53 cer 0.10720580123504958 al
Bemba asr 15 15 210 223.67 wav2vec2-large-xlsr-53 wer 0.5739015857149348 al
Bemba asr 15 15 210 223.67 wav2vec2-large-xlsr-53 cer 0.11213658195320804 al
Bemba asr 15 15 225 238.57 wav2vec2-large-xlsr-53 wer 0.557317461038666 al
Bemba asr 15 15 225 238.57 wav2vec2-large-xlsr-53 cer 0.10862516648952629 al
Bemba asr 15 15 240 253.48 wav2vec2-large-xlsr-53 wer 0.46962606206551866 al
Bemba asr 15 15 240 253.48 wav2vec2-large-xlsr-53 cer 0.08604985940884446 al
Bemba asr 15 15 255 268.42 wav2vec2-large-xlsr-53 wer 0.41378526966241086 al
Bemba asr 15 15 255 268.42 wav2vec2-large-xlsr-53 cer 0.07585868234471067 al
Bemba asr 15 15 270 283.32 wav2vec2-large-xlsr-53 wer 0.4924349129901404 al
Bemba asr 15 15 270 283.32 wav2vec2-large-xlsr-53 cer 0.08952764062478978 al
Bemba asr 15 15 285 298.17 wav2vec2-large-xlsr-53 wer 0.414875732654823 al
Bemba asr 15 15 285 298.17 wav2vec2-large-xlsr-53 cer 0.07466802997484158 al
Bemba asr 15 15 300 313.06 wav2vec2-large-xlsr-53 wer 0.5359171248125767 al
Bemba asr 15 15 300 313.06 wav2vec2-large-xlsr-53 cer 0.10312933040939606 al
Bemba asr 15 15 315 327.94 wav2vec2-large-xlsr-53 wer 0.42255440955972556 al
Bemba asr 15 15 315 327.94 wav2vec2-large-xlsr-53 cer 0.07655154784808083 al
Bemba asr 15 15 330 342.94 wav2vec2-large-xlsr-53 wer 0.5686310145849425 al
Bemba asr 15 15 330 342.94 wav2vec2-large-xlsr-53 cer 0.11170606358218192 al
Bemba asr 15 15 345 357.87 wav2vec2-large-xlsr-53 wer 0.4495433686219274 al
